ID;Nama;Tempat;Rating_Code;Waktu;Ratings
109;Bagus S;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
109;Bagus S;Gesing Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
109;Bagus S;Ngandong Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
109;Bagus S;Sadeng Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
109;Bagus S;Pantjoran Pantai Indah Kapuk;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
109;Bagus S;Depok Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;4 years ago;1
109;Bagus S;Sari Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
109;Bagus S;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
109;Bagus S;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
109;Bagus S;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
109;Bagus S;Mount Sumbing;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
109;Bagus S;Mount Merbabu National Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 years ago;5
109;Bagus S;Mount Merapi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
109;Bagus S;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
109;Bagus S;DeLoano Glamping;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;a year ago;1
110;Reza E;White Crater;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a week ago;5
110;Reza E;Dunia Fantasi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
110;Reza E;Lembang Park & Zoo;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
110;Reza E;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
110;Reza E;The Lodge Maribaya Bike Park;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
111;Estu Dimas;Parangtritis Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;7 months ago;5
111;Estu Dimas;Gesing Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
111;Estu Dimas;Wohudu Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
111;Estu Dimas;Baron Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
111;Estu Dimas;Gunung Prau;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
